ETF_CODE,ETF_NAME_JP,ETF_TYPE,PROVIDER,NET_FLOW,TOP_BUY_STOCK,TOP_BUY_CHANGE,TOP_SELL_STOCK,TOP_SELL_CHANGE
1305,iFreeETF TOPIX (Yearly Dividend Type),PASSIVE,iFree,0.0,0,0.0,0,0.0
1306,TOPIX ETF,PASSIVE,Other,-3132200.0,0,0.0,ＮＴＴ,-408200.0
1308,Listed Index Fund TOPIX,PASSIVE,Other,0.0,0,0.0,0,0.0
1311,TOPIX Core 30 Exchange Traded,PASSIVE,Other,0.0,0,0.0,0,0.0
1319,Nikkei 300,PASSIVE,Other,0.0,0,0.0,0,0.0
1320,iFreeETF Nikkei225 (Yearly Dividend Type),PASSIVE,iFree,0.0,0,0.0,0,0.0
1321,Nikkei 225 Exchange Traded Fund,PASSIVE,Other,0.0,0,0.0,0,0.0
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,PASSIVE,Other,0.0,0,0.0,0,0.0
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1328,NEXT FUNDS Gold Price Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1329,iShares Nikkei 225 ETF,PASSIVE,iShares,366700.0,ソフトバンクグループ,24000.0,0,0.0
1330,Listed Index Fund 225,PASSIVE,Other,0.0,0,0.0,0,0.0
133A,Global X Ultra Short-Term T-Bill ETF,PASSIVE,Global X,0.0,0,0.0,0,0.0
1343,NEXT FUNDS REIT INDEX ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Dividend Payment Type,PASSIVE,Other,0.0,0,0.0,0,0.0
1346,MAXIS NIKKEI225 ETF,PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1348,MAXIS TOPIX ETF,PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1356,TOPIX Bear -2x ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1357,NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1358,Listed Index Fund Nikkei Leveraged Index,PASSIVE,Other,0.0,0,0.0,0,0.0
1360,Nikkei225 Bear -2x ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1364,iShares JPX-Nikkei 400 ETF,PASSIVE,iShares,0.0,0,0.0,0,0.0
1365,iFreeETF Nikkei225 Leveraged Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1366,iFreeETF Nikkei225 Double Inverse Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1367,iFreeETF TOPIX Leveraged (2x) Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1368,iFreeETF TOPIX Double Inverse (-2x) Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1369,One ETF Nikkei225,PASSIVE,One ETF,0.0,0,0.0,0,0.0
1397,SMAM NIKKEI225 ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1398,SMAM REIT Index ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1399,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,PASSIVE,Other,0.0,0,0.0,0,0.0
140A,iFreeETF 10-Year U.S. Treasury Note Futures Inverse,PASSIVE,iFree,0.0,0,0.0,0,0.0
1456,iFreeETF Nikkei225 Inverse Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1457,iFreeETF TOPIX Inverse (-1x) Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1458,Rakuten ETF-Nikkei 225 Leveraged Index,PASSIVE,Other,0.0,0,0.0,0,0.0
1459,Rakuten ETF-Nikkei 225 Double Inverse Index,PASSIVE,Other,0.0,0,0.0,0,0.0
1466,iFreeETF JPX-Nikkei400 Double Inverse (-2x) Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1469,JPX-Nikkei 400 Bear -2x Double Inverse ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1472,NEXT FUNDS JPX-Nikkei 400 Double Inverse Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1473,One ETF TOPIX,PASSIVE,One ETF,7663000.0,ＮＴＴ,997500.0,0,0.0
1474,One ETF JPX-Nikkei400,PASSIVE,One ETF,0.0,0,0.0,0,0.0
1475,iShares TOPIX ETF,PASSIVE,iShares,0.0,0,0.0,0,0.0
1476,iShares Japan REIT ETF,PASSIVE,iShares,0.0,0,0.0,0,0.0
1477,iShares MSCI Japan Minimum Volatility (ex-REITs) ETF,PASSIVE,iShares,0.0,0,0.0,0,0.0
1478,iShares MSCI Japan High Dividend ETF,PASSIVE,iShares,-1649600.0,0,0.0,ＮＴＴ,-552000.0
1479,iFreeETF MSCI Japan Human and Physical Investment Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1480,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1481,Listed Index Fund Japanese Economy Contributor Stocks,PASSIVE,Other,0.0,0,0.0,0,0.0
1482,iShares US Treasury Bond 7-10 Year JPY Hedged ETF,PASSIVE,iShares,0.0,0,0.0,0,0.0
1483,iShares JPX/S&P CAPEX & Human Capital ETF,PASSIVE,iShares,14900.0,ＮＴＴ,4700.0,0,0.0
1484,One ETF JPX/S&P CAPEX & Human Capital Index,PASSIVE,One ETF,-2000.0,0,0.0,ＮＴＴ,-600.0
1485,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index ETF,PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1486,Listed Index Fund US Bond (No Currency Hedge),PASSIVE,Other,0.0,0,0.0,0,0.0
1487,Listed Index Fund US Bond (Currency Hedge),PASSIVE,Other,0.0,0,0.0,0,0.0
1488,iFreeETF Tokyo Stock Exchange REIT Index,PASSIVE,iFree,0.0,0,0.0,0,0.0
1489,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,971600.0,ソフトバンク,233500.0,0,0.0
1490,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged),PASSIVE,Other,0.0,0,0.0,0,0.0
1493,One ETF JPX-Nikkei Mid Small,PASSIVE,One ETF,0.0,0,0.0,0,0.0
1494,One ETF High Dividend Japan Equity,PASSIVE,One ETF,0.0,0,0.0,0,0.0
1495,Listed Index Fund Asian REIT,PASSIVE,Other,0.0,0,0.0,0,0.0
1498,One ETF ESG,PASSIVE,One ETF,0.0,0,0.0,0,0.0
1499,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1545,NEXT FUNDS NASDAQ-100,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1546,NEXT FUNDS Dow Jones Industrial Average Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1547,Listed Index Fund US Equity (S&P500),PASSIVE,Other,0.0,0,0.0,0,0.0
1550,MAXIS Global Equity (MSCI Kokusai),PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1551,TSE STANDARD TOP 20 ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1554,Listed Index Fund World Equity (MSCI ACWI) ex Japan,PASSIVE,Other,0.0,0,0.0,0,0.0
1555,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),PASSIVE,Other,0.0,0,0.0,0,0.0
1559,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1560,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1563,TSE Growth Core ETF,PASSIVE,Other,-303200.0,0,0.0,ＧＥＮＤＡ,-44000.0
1566,Listed Index Fund Emerging Bond,PASSIVE,Other,0.0,0,0.0,0,0.0
1568,TOPIX Bull 2x ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1569,TOPIX Bear -1x ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1570,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1571,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1572,China Bull 2x HSCEI ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1573,China Bear -1x HSCEI ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1577,NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund,PASSIVE,NEXT FUNDS,-389200.0,0,0.0,ＮＴＴ,-57100.0
1578,Listed Index Fund Nikkei 225 (Mini),PASSIVE,Other,0.0,0,0.0,0,0.0
1579,Nikkei 225 Bull 2x ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1580,Nikkei 225 Bear -1x ETF,PASSIVE,Other,0.0,0,0.0,0,0.0
1585,iFreeETF TOPIX Ex-Financials,PASSIVE,iFree,0.0,0,0.0,0,0.0
1586,Listed Index Fund TOPIX Ex-Financials,PASSIVE,Other,0.0,0,0.0,0,0.0
1591,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,PASSIVE,NEXT FUNDS,-2740300.0,0,0.0,ＮＴＴ,-513700.0
1592,Listed Index Fund JPX-Nikkei Index 400,PASSIVE,Other,0.0,0,0.0,0,0.0
1593,MAXIS JPX-Nikkei Index 400 ETF,PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1595,NZAM ETF J-REIT Index,PASSIVE,Other,0.0,0,0.0,0,0.0
1596,NZAM ETF TOPIX Ex-Financials,PASSIVE,Other,0.0,0,0.0,0,0.0
1597,MAXIS J-REIT ETF,PASSIVE,MAXIS,0.0,0,0.0,0,0.0
1599,iFreeETF JPX-Nikkei400,PASSIVE,iFree,0.0,0,0.0,0,0.0
159A,NEXT FUNDS JPX Prime 150 Index Exchange Traded Fund,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1615,TOPIX Banks,PASSIVE,Other,-216800.0,0,0.0,三菱ＵＦＪフィナンシャル・グループ,-71500.0
1617,NEXT FUNDS TOPIX-17 FOODS ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1618,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,PASSIVE,NEXT FUNDS,-339600.0,0,0.0,ＥＮＥＯＳホールディングス,-184200.0
1619,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1620,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1621,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1622,NEXT FUNDS TOPIX-17 AUTOMOBILES & TRANSPORTATION EQUIPMENT ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,PASSIVE,NEXT FUNDS,1124900.0,日本製鉄,433500.0,0,0.0
1624,NEXT FUNDS TOPIX-17 MACHINERY ETF,PASSIVE,NEXT FUNDS,0.0,0,0.0,0,0.0
1625,NEXT FUNDS TOPIX-17 ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ETF,PASSIVE,NEXT FUNDS,-68200.0,0,0.0,ソニーグループ,-10200.0
